1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;73,114;100;2,746;3.8;43,878;7,537;7,112;12,327;2,260;0;0;67,129;91.8;26,770;19,367;7,403;7,687;28.7
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;51;0.1;0;0;18;10;8;12;3;0;0;42;82.4;47;39;8;11;23.4
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;51;0.1;0;0;18;10;8;12;3;0;0;42;82.4;47;39;8;11;23.4
143000;Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;51;0.1;0;0;18;10;8;12;3;0;0;42;82.4;47;39;8;11;23.4
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB;47;0.1;0;0;18;10;4;12;3;0;0;38;80.9;42;35;7;9;21.4
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;47;0.1;0;0;18;10;4;12;3;0;0;38;80.9;42;35;7;9;21.4
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;40;0.1;0;0;18;10;2;7;3;0;0;32;80;35;28;7;7;20
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;5;0;0;0;0;0;2;3;0;0;0;5;100;6;6;0;2;33.3
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB;4;0;0;0;0;0;4;0;0;0;0;4;100;5;4;1;2;40
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;4;0;0;0;0;0;4;0;0;0;0;4;100;5;4;1;2;40
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;2;0;0;0;0;0;2;0;0;0;0;2;100;2;2;0;0;0
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;2;0;0;0;0;0;2;0;0;0;0;2;100;3;2;1;2;66.7
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146000;Inverkehrbringen, Erwerb und Besitz von Sexpuppen mit kindlichem Erscheinungsbild § 184l StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
239000;Menschenhandel, Zwangsprostitution, Zwangsarbeit, Ausbeutung der Arbeitskraft und Ausbeutung unter Ausnutzung einer Freiheitsberaubung §§ 232, 232a, 232b, 233, 233a StGB;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
239100;Menschenhandel § 232 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239110;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a. Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239120;"Handel zum Zweck der Ausbeutung durch eine Beschäftigung § 232 StGB Abs. 1, Nr. 1 b); Abs. 2 in Bezug auf Abs. 1 Nr. 1b); Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1, Nr. 1b); Abs. 4 in Bezug auf Abs. 1 Nr. 1b) StGB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239130;Handel zum Zweck der Ausbeutung bei der Ausübung der Bettelei § 232 Abs. 1 Nr. 1 c), Abs. 2 in Bezug auf Abs. 1 Nr. 1 c), Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1c), Abs. 4 in Bezug auf Abs. 1 Nr. 1c) StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239140;Handel zum Zweck der Ausbeutung bei der Begehung von mit Strafe bedrohten Handlungen § 232 StGB Abs. 1 Nr. 1d), Abs. 2 in Bezug auf Abs. 1 Nr. 1d), Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1, Nr. 1d), Abs. 4 in Bezug auf Abs. 1 Nr. 1d) StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239150;Handel zum Zweck des Haltens einer Person in Sklaverei, Leibeigenschaft, Schuldknechtschaft o.ä. § 232 Abs. 1 Nr. 2, Abs. 2 in Bezug auf Abs. 1 Nr. 2, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 2, Abs. 4 in Bezug auf Abs. 1 Nr. 2 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239160;Handel zum Zweck der rechtswidrigen Organentnahme § 232 Abs. 1 Nr. 3, Abs. 2 in Bezug auf Abs. 1 Nr. 3, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 3, Abs. 4 in Bezug auf Abs. 1 Nr. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239200;Zwangsprostitution § 232a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239210;Veranlassen zur Aufnahme oder Fortsetzung der Prostitution oder zu sexuellen Handlungen, durch die eine Person ausgebeutet wird § 232a Abs. 1 bis 5 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239300;Zwangsarbeit § 232b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239310;Veranlassen zur Aufnahme einer ausbeuterischen Beschäftigung § 232b Abs. 1 Nr. 1, Abs. 2 in Bezug auf Abs. 1 Nr. 1, Abs. 3 Nr. 1, Abs. 4 Nr. 1 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239320;Veranlassen sich in Sklaverei, Leibeigenschaft, Schuldknechtschaft o.ä. zu begeben § 232b Abs. 1 Nr. 2, Abs. 2 in Bezug auf Abs. 1 Nr. 2, Abs. 3 Nr. 2, Abs. 4 Nr. 2 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239330;Veranlassen zur Aufnahme oder Fortsetzung der Bettelei, durch die die Person ausgebeutet wird § 232b Abs. 1 Nr. 3, Abs. 2 in Bezug auf Abs. 1 Nr. 3, Abs. 3 Nr. 3, Abs. 4 Nr. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239400;Ausbeutung der Arbeitskraft § 233 StGB;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
239410;Ausbeutung durch eine Beschäftigung § 233 Abs. 1 Nr. 1, Abs. 2 in Fällen von Abs. 1 Nr. 1, Abs. 3 in Fällen von Abs. 1 Nr. 1, Abs. 4 in Bezug auf Abs. 1 Nr. 1, Abs. 5 in Bezug auf Abs. 1 Nr. 1 StGB;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
239420;Ausbeutung bei der Ausübung der Bettelei § 233 Abs. 1 Nr. 2, Abs. 2 in Fällen von Abs. 1 Nr. 2, Abs. 3 in Fällen von Abs. 1 Nr. 2, Abs. 4 in Bezug auf Abs. 1 Nr. 2 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239430;Ausbeutung bei der Begehung von mit Strafe bedrohten Handlungen § 233 Abs. 1 Nr. 3, Abs. 2 in Fällen von Abs. 1 Nr. 3, Abs. 3 in Fällen von Abs. 1 Nr. 3, Abs. 4 in Bezug auf Abs. 1 Nr. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239500;Ausbeutung unter Ausnutzung einer Freiheitsberaubung § 233a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239510;Ausbeutung bei Ausübung der Prostitution § 233a Abs. 1 Nr. 1, Abs. 2 in Bezug auf Abs. 1 Nr. 1, Abs. 3 in Bezug auf Abs. 1 Nr. 1, Abs. 4 in Bezug auf Abs. 1 Nr. 1 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239520;Ausbeutung durch eine Beschäftigung nach § 232 Abs. 1 Satz 2 StGB (gem. § 233a Abs. 1 Nr. 2, Abs. 2 in Bezug auf Abs. 1 Nr. 2, Abs. 3 in Bezug auf Abs. 1 Nr. 2, Abs. 4 in Bezug auf Abs. 1 Nr. 2 StGB);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239530;Ausbeutung bei der Ausübung der Bettelei § 233a Abs. 1 Nr. 3, Abs. 2 in Bezug auf Abs. 1 Nr. 3, Abs. 3 in Bezug auf Abs. 1 Nr. 3, Abs. 4 in Bezug auf Abs. 1 Nr. 3 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239540;Ausbeutung bei der Begehung von mit Strafe bedrohten Handlungen § 233a Abs. 1 Nr. 4, Abs. 2 in Bezug auf Abs. 1 Nr. 4, Abs. 3 in Bezug auf Abs. 1 Nr. 4, Abs. 4 in Bezug auf Abs. 1 Nr. 4 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
500000;Vermögens- und Fälschungsdelikte;64,297;87.9;2,629;4.1;41,241;5,272;5,847;10,013;1,924;0;0;58,915;91.6;19,445;13,851;5,594;5,437;28
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;53,874;73.7;2,601;4.8;38,380;3,141;2,560;7,982;1,811;0;0;48,826;90.6;11,797;8,484;3,313;3,753;31.8
511000;Waren- und Warenkreditbetrug;1,752;2.4;113;6.4;396;310;220;312;514;0;0;1,014;57.9;836;600;236;219;26.2
